platform,searchTime,searchQuery,searchInteractionURIs
ANDROID,2021-05-01 17:41:04,ac/dc,"['spotify:playlist:0DmSdNrUjJWqXD7UnUGVn8', 'spotify:playlist:0MeXOXvGoKMIAOaZg7Ydlt', 'spotify:playlist:38iI10NJQ5HY0ilCItMz5r']"
ANDROID,2021-05-01 17:42:15,low roar,['spotify:playlist:3NHJr2O6HVU1Dnywxogcyo']
ANDROID,2021-05-01 17:42:57,rap nacional,['spotify:playlist:07DFhdfMTy8VhvstdHqGEd']
ANDROID,2021-05-01 17:50:07,resistance,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-05-02 14:19:27,london grammar,['spotify:playlist:37i9dQZF1DZ06evO0a532y']
ANDROID,2021-05-08 14:58:05,hozier,['spotify:playlist:4BA4fhgKxBWsUDoTpz2HWw']
ANDROID,2021-05-08 14:59:15,ella,['spotify:artist:4wh03gpwWgB5koOyZr8XxB']
ANDROID,2021-05-25 01:29:19,Trippin' On A Hole In A Paper Heart,['spotify:track:2gdtLnVGGg80Kj9GiqP0vH']
ANDROID,2021-06-06 00:46:04,motorhead,['spotify:artist:2PhFsxtwCQLS3e9SJwDN3j']
ANDROID,2021-06-06 00:46:21,rael,[]
ANDROID,2021-06-06 00:49:36,rael,[]
ANDROID,2021-06-06 00:53:26,emicida,"['spotify:artist:28ie4NNTa2VW2QV4Zray8M', 'spotify:playlist:37i9dQZF1E4yKJplutf1zx', 'spotify:playlist:37i9dQZF1DWVskFRGurTfg', 'spotify:playlist:37i9dQZF1E4yKJplutf1zx']"
ANDROID,2021-06-08 22:19:17,slsd,['spotify:album:7zfTsLHZjOUUstGNSWHlk2']
ANDROID,2021-06-12 19:16:01,poesia ,['spotify:playlist:4BA4fhgKxBWsUDoTpz2HWw']
ANDROID,2021-06-12 19:19:46,no na orelha,[]
ANDROID,2021-06-12 19:20:04,nada mudou,['spotify:playlist:0Q9K4SSrkcG3uS20YNXeVX']
ANDROID,2021-06-12 19:21:57,rap romantico,"['spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw', 'spotify:playlist:2PWZxzTRF0XVCSmNtRLfb3']"
ANDROID,2021-06-14 02:29:19,criolo,['spotify:artist:37ZflmHTdxkSLQuT8w9NBs']
ANDROID,2021-06-14 02:29:38,sistema obtuso,['spotify:playlist:5HBwCVrUNe3py2a2KZYUPh']
ANDROID,2021-06-14 02:29:42,sistema obtuso,"['spotify:playlist:5HBwCVrUNe3py2a2KZYUPh', 'spotify:playlist:3wiSGjONF3Af8viZb272bt', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst', 'spotify:playlist:3QdLOyDpBjUFZewhnZcJst']"
ANDROID,2021-06-14 12:38:58,criolo e emicida,['spotify:album:3xfZtthn2dlFtFfyyYKEf8']
ANDROID,2021-06-14 13:54:04,djonga,"['spotify:artist:204IwDdaHE4ymGk9Kya2pY', 'spotify:album:1BGWFAkM0Oz88Dq7v369eP']"
ANDROID,2021-06-14 20:41:26,aerosmith,"['spotify:artist:7Ey4PD4MYsKc5I2dolUwbH', 'spotify:playlist:37i9dQZF1DWWsq4e0rDzty']"
ANDROID,2021-06-15 17:06:45,arctic monkeys,"['spotify:playlist:68jEdy5uA0g2mTuNmZH6Fd', 'spotify:playlist:13613ThuKFHn8T25iS7BDi']"
ANDROID,2021-06-16 08:52:02,budah,['spotify:artist:08zSkHjCY3ypH4gdBVHWgO']
ANDROID,2021-06-16 22:27:15,lana del rey rockwell,['spotify:album:5XpEKORZ4y6OrCZSKsi46A']
ANDROID,2021-06-22 15:55:49,jazz,['spotify:playlist:3dvqvkUjn5Qk0RGU7JU8OH']
ANDROID,2021-06-23 15:50:17,miles davis,[]
ANDROID,2021-06-23 15:51:01,eu não sou tão bom assim,"['spotify:playlist:5JrFuY4zzcza5VNDR3OJyC', 'spotify:playlist:1WvLy6yU5MqN1de0hBvja3', 'spotify:playlist:1RXWFL0xPwH5AfqNPKmWGj']"
ANDROID,2021-06-24 02:48:42,little broken hearts,[]
ANDROID,2021-07-03 14:44:32,3030,['spotify:playlist:3dvqvkUjn5Qk0RGU7JU8OH']
ANDROID,2021-07-14 13:14:38,songbook chris cornel,['spotify:album:24QtdNLprYc0U57zdMcQoc']
ANDROID,2021-07-14 13:18:42,johnny cash,"['spotify:artist:6kACVPfCOnqzgfEF5ryl0x', 'spotify:playlist:37i9dQZF1DX2e5iuTsMOoD']"
ANDROID,2021-07-14 13:37:04,the doors,['spotify:playlist:37i9dQZF1DX0XK1VdFMbTA']
ANDROID,2021-07-15 14:29:03,pink floyd,['spotify:playlist:37i9dQZF1DWWsq4e0rDzty']
ANDROID,2021-07-18 17:49:50,tiago iorc,['spotify:artist:4iWkwAVzssjb8XgxdoOL6M']
ANDROID,2021-07-18 17:51:46,tiago iorc troco likes,['spotify:album:7H1YuQLC6lmpcqgKhZncU1']
ANDROID,2021-07-18 18:08:24,beethoven,['spotify:artist:2wOqMjp9TyABvtHdOSOTUS']
ANDROID,2021-07-18 18:08:39,vivaldi,['spotify:artist:2QOIawHpSlOwXDvSqQ9YJR']
ANDROID,2021-07-18 18:11:22,metallica,['spotify:playlist:37i9dQZF1E4EBdeEVqipSd']
ANDROID,2021-07-18 18:11:35,velver underground,"['spotify:playlist:37i9dQZF1DWU0FBqUeZYeN', 'spotify:playlist:37i9dQZF1DZ06evO0L6UdW']"
ANDROID,2021-07-18 18:13:00,velver revolver,"['spotify:artist:7CHilrn81OdYjkh4uSVnYM', 'spotify:playlist:37i9dQZF1DWVEG2SF7lN2q', 'spotify:playlist:37i9dQZF1E4tVdRpjL6DVi', 'spotify:playlist:37i9dQZF1DX6HzfoNVFOPu']"
ANDROID,2021-07-18 18:13:34,djonga,"['spotify:playlist:37i9dQZF1DZ06evO18bmQy', 'spotify:playlist:37i9dQZF1E4z3VtVFwtcIA', 'spotify:playlist:37i9dQZF1DXbbBJ8C1wekz']"
ANDROID,2021-07-18 18:15:50,pearl jam,"['spotify:artist:1w5Kfo2jwwIPruYS2UWh56', 'spotify:playlist:37i9dQZF1DX6YTj07PjLwE', 'spotify:playlist:37i9dQZF1DX9qRMAPlxxDn']"
ANDROID,2021-07-18 18:16:09,sound,"['spotify:artist:5xUf6j4upBrXZPg6AI4MRK', 'spotify:playlist:37i9dQZF1DX024QaIPhrkq', 'spotify:playlist:37i9dQZF1DXaLI8a395lse', 'spotify:playlist:37i9dQZF1DX4jSCizAzbyM']"
ANDROID,2021-07-18 18:16:42,black sabbath,"['spotify:playlist:37i9dQZF1DWWOaP4H0w5b0', 'spotify:artist:5M52tdBnJaKSvOpJGz8mfZ']"
ANDROID,2021-07-18 18:30:20,djonga,"['spotify:playlist:37i9dQZF1DX0prPGsXNyt4', 'spotify:playlist:37i9dQZF1DX7f8PyAQL3rz', 'spotify:album:3dCALWYm5dnvz0SS8kRi2k', 'spotify:album:1BGWFAkM0Oz88Dq7v369eP', 'spotify:artist:204IwDdaHE4ymGk9Kya2pY']"
ANDROID,2021-07-18 18:32:03,cronixta,['spotify:artist:5BGPgNyveXI7oJlXOVuSWc']
ANDROID,2021-07-18 18:32:15,makalister,['spotify:artist:1RoerHIsbQo1h0V8KpznKV']
ANDROID,2021-07-20 00:29:57,norah,"['spotify:artist:2Kx7MNY7cI1ENniW7vT30N', 'spotify:artist:2Kx7MNY7cI1ENniW7vT30N', 'spotify:playlist:37i9dQZF1DX6e81LupkkgG']"
ANDROID,2021-07-20 15:12:07,zayn,['spotify:artist:5ZsFI1h6hIdQRw2ti0hz81']
ANDROID,2021-07-20 15:12:36,passenger,['spotify:artist:0gadJ2b9A4SKsB1RFkBb66']
